1, False, -16, 11, 3
2, False, -7, 4, 1
3, False, -11, 2, 0
4, False, -29, 10, 4
5, False, -15, 4, 1
6, False, -24, 7, 4
7, False, -10, 1, 1
8, False, -10, 1, 1
9, False, -17, 10, 2
10, False, -12, 3, 1
11, False, -12, 3, 3
12, False, -14, 3, 2
13, False, -12, 3, 2
14, False, -11, 2, 1
15, False, -10, 1, 1
16, False, -27, 16, 5
17, False, -17, 4, 1
18, False, -11, 2, 2
19, False, -11, 2, 1
20, False, -14, 9, 1
21, False, -10, 1, 0
22, False, -10, 1, 0
23, False, -10, 1, 0
24, False, -10, 1, 1
25, False, -18, 5, 2
26, False, -10, 1, 1
27, False, -14, 3, 1
28, False, -13, 8, 0
29, False, -10, 1, 0
30, False, -10, 1, 0
31, False, -25, 6, 2
32, False, -11, 2, 1
33, False, -9, 6, 2
34, False, -15, 4, 1
35, False, -8, 5, 1
36, False, -10, 1, 0
37, False, -10, 1, 0
38, False, -10, 1, 0
39, False, -15, 4, 1
40, False, -11, 2, 2
41, False, -11, 6, 1
42, False, -10, 1, 0
43, False, -10, 1, 1
44, False, -10, 1, 0
45, False, -10, 1, 1
46, False, -10, 1, 0
47, False, -15, 4, 0
48, False, -15, 4, 1
49, False, -10, 1, 0
50, False, -10, 1, 0
51, False, -10, 1, 0
52, False, -10, 1, 1
53, False, -11, 2, 1
54, False, -23, 6, 2
55, False, -10, 1, 0
56, False, -11, 2, 0
57, False, -11, 2, 2
58, False, -11, 2, 2
59, False, -12, 3, 2
60, False, -10, 1, 1
61, False, -11, 2, 2
62, False, -10, 1, 1
63, False, -10, 1, 0
64, False, -10, 1, 0
65, False, -6, 3, 1
66, False, -10, 1, 1
67, False, -14, 3, 1
68, False, -10, 1, 1
69, False, -15, 4, 3
70, False, -6, 3, 1
71, False, -10, 1, 0
72, False, -8, 5, 0
73, False, -10, 1, 1
74, False, -10, 1, 0
75, False, -15, 4, 0
76, False, -10, 1, 0
77, False, -8, 5, 0
78, False, -10, 1, 1
79, False, -10, 1, 0
80, False, -8, 5, 0
81, False, -11, 2, 0
82, False, -16, 5, 3
83, False, -10, 1, 1
